midi,time
75,10.909087999999999
87,12.272723999999998
86,13.636359999999998
82,14.318177999999998
84,14.659086999999998
86,14.999995999999998
87,15.681813999999997
75,16.363632
84,17.727268
82,19.090904
72,21.818175999999998
80,23.181811999999997
79,24.545447999999997
75,25.227265999999997
77,25.568174999999997
79,25.909083999999996
80,26.590901999999996
77,27.272719999999996
74,27.954537999999996
75,28.295446999999996
77,28.636355999999996
79,29.318173999999996
75,29.999991999999995
75,32.727264
87,34.0909
86,35.454536
82,36.136354
84,36.477262999999994
86,36.818172
87,37.49999
75,38.181808
84,39.545443999999996
82,40.909079999999996
72,43.636351999999995
80,44.999987999999995
79,46.363623999999994
75,47.045441999999994
77,47.386351
79,47.727259999999994
80,48.409077999999994
77,49.090895999999994
74,49.77271399999999
75,50.113623
77,50.45453199999999
79,51.13634999999999
75,51.81816799999999
82,54.204530999999996
79,54.54543999999999
82,54.886348999999996
79,55.22725799999999
82,55.568166999999995
79,55.90907599999999
82,56.249984999999995
79,56.59089399999999
82,56.931802999999995
80,57.27271199999999
82,57.613620999999995
80,57.95452999999999
82,58.295438999999995
80,58.63634799999999
82,58.977256999999994
80,59.31816599999999
82,59.659074999999994
84,59.99998399999999
84,61.36361999999999
82,65.11361899999999
79,65.454528
82,65.79543699999999
79,66.13634599999999
82,66.477255
79,66.818164
82,67.15907299999999
79,67.49998199999999
82,67.840891
81,68.1818
84,68.52270899999999
81,68.86361799999999
84,69.204527
81,69.545436
84,69.88634499999999
81,70.22725399999999
84,70.568163
86,70.909072
86,72.272708
89,73.636344
84,74.99998
75,76.363616
87,77.727252
86,79.09088799999999
82,79.77270599999999
84,80.113615
86,80.45452399999999
87,81.13634199999998
75,81.81815999999999
84,83.18179599999999
82,84.54543199999999
72,87.27270399999999
80,88.63633999999999
79,89.99997599999999
75,90.681794
77,91.02270299999999
79,91.36361199999999
80,92.04543
77,92.72724799999999
74,93.409066
75,93.74997499999999
77,94.09088399999999
79,94.772702
75,95.45451999999999
82,97.84088299999999
79,98.18179199999999
82,98.52270099999998
79,98.86361
82,99.20451899999999
79,99.54542799999999
82,99.88633699999998
79,100.227246
82,100.56815499999999
80,100.90906399999999
82,101.24997299999998
80,101.590882
82,101.93179099999999
80,103.63633599999999
82,104.31815399999999
84,104.99997199999999
86,105.68178999999999
87,106.36360799999999
87,109.09087999999998
